年,性別,年齢,旧,新,確率
2015-20,1,7,23,99,0.002
2015-20,1,7,25,99,0.002
2015-20,1,7,27,99,0.002
2015-20,1,7,31,99,0.0108
2015-20,1,7,34,99,0.0108
2015-20,1,7,35,99,0.0108
2015-20,1,7,37,99,0.0108
2015-20,1,7,99,99,1
2015-20,1,8,11,99,0.0079
2015-20,1,8,15,99,0.0079
2015-20,1,8,17,99,0.0079
2015-20,1,8,21,99,0.0029
2015-20,1,8,22,99,0.0029
2015-20,1,8,23,99,0.0029
2015-20,1,8,25,99,0.0029
2015-20,1,8,27,99,0.0029
2015-20,1,8,31,99,0.0158
2015-20,1,8,34,99,0.0158
2015-20,1,8,35,99,0.0158
2015-20,1,8,37,99,0.0158
2015-20,1,8,99,99,1
2015-20,1,9,11,11,0.7867
2015-20,1,9,15,11,0
2015-20,1,9,17,11,0.0921
2015-20,1,9,21,11,0
2015-20,1,9,22,11,0
2015-20,1,9,23,11,0
2015-20,1,9,25,11,0
2015-20,1,9,27,11,0
2015-20,1,9,31,11,0
2015-20,1,9,34,11,0
2015-20,1,9,35,11,0
2015-20,1,9,37,11,0
2015-20,1,9,99,11,0
2015-20,1,10,11,11,0.8515
2015-20,1,10,15,11,0
2015-20,1,10,17,11,0.1104
2015-20,1,10,21,11,0
2015-20,1,10,22,11,0
2015-20,1,10,23,11,0
2015-20,1,10,25,11,0
2015-20,1,10,27,11,0
